code,csv_file,file_size_kb,name,industry_name
sh.600525,sh_600525.csv,12.84375,ST长园,未知行业
sh.600526,sh_600526.csv,12.6953125,菲达环保,未知行业
sh.600527,sh_600527.csv,12.8037109375,江南高纤,未知行业
sh.600528,sh_600528.csv,12.966796875,中铁工业,未知行业
sh.600529,sh_600529.csv,13.5517578125,山东药玻,未知行业
sh.600530,sh_600530.csv,12.732421875,交大昂立,未知行业
sh.600531,sh_600531.csv,13.82421875,豫光金铅,未知行业
sh.600533,sh_600533.csv,12.6748046875,栖霞建设,未知行业
sh.600535,sh_600535.csv,13.5498046875,天士力,未知行业
sh.600536,sh_600536.csv,13.68359375,中国软件,未知行业
sh.600537,sh_600537.csv,13.181640625,亿晶光电,未知行业
sh.600538,sh_600538.csv,12.814453125,国发股份,未知行业
sh.600539,sh_600539.csv,13.4736328125,狮头股份,未知行业
sh.600540,sh_600540.csv,12.8603515625,新赛股份,未知行业
sh.600543,sh_600543.csv,12.4951171875,莫高股份,未知行业
sh.600545,sh_600545.csv,12.8681640625,卓郎智能,未知行业
sh.600546,sh_600546.csv,13.595703125,山煤国际,未知行业
sh.600547,sh_600547.csv,13.755859375,山东黄金,未知行业
sh.600548,sh_600548.csv,12.88671875,深高速,未知行业
sh.600549,sh_600549.csv,13.79296875,厦门钨业,未知行业
sh.600550,sh_600550.csv,13.6240234375,保变电气,未知行业
sh.600551,sh_600551.csv,12.7412109375,时代出版,未知行业
sh.600552,sh_600552.csv,13.7158203125,凯盛科技,未知行业
sh.600556,sh_600556.csv,13.2041015625,天下秀,未知行业
sh.600557,sh_600557.csv,13.5302734375,康缘药业,未知行业
sh.600558,sh_600558.csv,12.92578125,大西洋,未知行业
sh.600559,sh_600559.csv,13.533203125,老白干酒,未知行业
sh.600560,sh_600560.csv,13.3798828125,金自天正,未知行业
sh.600561,sh_600561.csv,12.7646484375,江西长运,未知行业
sh.600562,sh_600562.csv,13.6591796875,国睿科技,未知行业
sh.600563,sh_600563.csv,14.2255859375,法拉电子,未知行业
sh.600566,sh_600566.csv,13.5888671875,济川药业,未知行业
sh.600567,sh_600567.csv,12.697265625,山鹰国际,未知行业
sh.600568,sh_600568.csv,12.7626953125,ST中珠,未知行业
sh.600569,sh_600569.csv,12.888671875,安阳钢铁,未知行业
sh.600570,sh_600570.csv,13.7685546875,恒生电子,未知行业
sh.600571,sh_600571.csv,13.6328125,信雅达,未知行业
sh.600572,sh_600572.csv,12.8681640625,康恩贝,未知行业
sh.600573,sh_600573.csv,13.46875,惠泉啤酒,未知行业
sh.600575,sh_600575.csv,12.916015625,淮河能源,未知行业
sh.600576,sh_600576.csv,12.9775390625,祥源文旅,未知行业
sh.600577,sh_600577.csv,13.7421875,精达股份,未知行业
sh.600578,sh_600578.csv,12.9873046875,京能电力,未知行业
sh.600579,sh_600579.csv,12.7841796875,中化装备,未知行业
sh.600580,sh_600580.csv,13.84765625,卧龙电驱,未知行业
sh.600581,sh_600581.csv,12.8271484375,*ST八钢,未知行业
